Total codepoints: 1114112
Divergent codepoints: 85119
Divergent ranges: 2487

By class pair:

  elixir=error:0 js=identifier:1 -> 82934 codepoints
  elixir=error:0 js=error:1 -> 1190 codepoints
  elixir=error:0 js=atom:1 -> 991 codepoints
  elixir=error:1 js=error:0 -> 3 codepoints
  elixir=identifier:1 js=error:0 -> 1 codepoints

Ranges:

1124-1124        | elixir=error:0 | js=atom:1 (Ѥ)
1125-1125        | elixir=error:0 | js=identifier:1 (ѥ)
1126-1126        | elixir=error:0 | js=atom:1 (Ѧ)
1127-1127        | elixir=error:0 | js=identifier:1 (ѧ)
1128-1128        | elixir=error:0 | js=atom:1 (Ѩ)
1129-1129        | elixir=error:0 | js=identifier:1 (ѩ)
1130-1130        | elixir=error:0 | js=atom:1 (Ѫ)
1131-1131        | elixir=error:0 | js=identifier:1 (ѫ)
1132-1132        | elixir=error:0 | js=atom:1 (Ѭ)
1133-1133        | elixir=error:0 | js=identifier:1 (ѭ)
1134-1134        | elixir=error:0 | js=atom:1 (Ѯ)
1135-1135        | elixir=error:0 | js=identifier:1 (ѯ)
1136-1136        | elixir=error:0 | js=atom:1 (Ѱ)
1137-1137        | elixir=error:0 | js=identifier:1 (ѱ)
1138-1138        | elixir=error:0 | js=atom:1 (Ѳ)
1139-1139        | elixir=error:0 | js=identifier:1 (ѳ)
1140-1140        | elixir=error:0 | js=atom:1 (Ѵ)
1141-1141        | elixir=error:0 | js=identifier:1 (ѵ)
1142-1142        | elixir=error:0 | js=atom:1 (Ѷ)
1143-1143        | elixir=error:0 | js=identifier:1 (ѷ)
1144-1144        | elixir=error:0 | js=atom:1 (Ѹ)
1145-1145        | elixir=error:0 | js=identifier:1 (ѹ)
1146-1146        | elixir=error:0 | js=atom:1 (Ѻ)
1147-1147        | elixir=error:0 | js=identifier:1 (ѻ)
1148-1148        | elixir=error:0 | js=atom:1 (Ѽ)
1149-1149        | elixir=error:0 | js=identifier:1 (ѽ)
1150-1150        | elixir=error:0 | js=atom:1 (Ѿ)
1151-1151        | elixir=error:0 | js=identifier:1 (ѿ)
1152-1152        | elixir=error:0 | js=atom:1 (Ҁ)
1153-1153        | elixir=error:0 | js=identifier:1 (ҁ)
1155-1159        | elixir=error:0 | js=error:1
1162-1162        | elixir=error:0 | js=atom:1 (Ҋ)
1163-1163        | elixir=error:0 | js=identifier:1 (ҋ)
1164-1164        | elixir=error:0 | js=atom:1 (Ҍ)
1165-1165        | elixir=error:0 | js=identifier:1 (ҍ)
1166-1166        | elixir=error:0 | js=atom:1 (Ҏ)
1167-1167        | elixir=error:0 | js=identifier:1 (ҏ)
1180-1180        | elixir=error:0 | js=atom:1 (Ҝ)
1181-1181        | elixir=error:0 | js=identifier:1 (ҝ)
1190-1190        | elixir=error:0 | js=atom:1 (Ҧ)
1191-1191        | elixir=error:0 | js=identifier:1 (ҧ)
1208-1208        | elixir=error:0 | js=atom:1 (Ҹ)
1209-1209        | elixir=error:0 | js=identifier:1 (ҹ)
1217-1217        | elixir=error:0 | js=atom:1 (Ӂ)
1218-1218        | elixir=error:0 | js=identifier:1 (ӂ)
1219-1219        | elixir=error:0 | js=atom:1 (Ӄ)
1220-1220        | elixir=error:0 | js=identifier:1 (ӄ)
1221-1221        | elixir=error:0 | js=atom:1 (Ӆ)
1222-1222        | elixir=error:0 | js=identifier:1 (ӆ)
