# NOTE: Due to Unicode character width variations, the formatting will appear
# broken in text editors. For proper viewing, use: cat mappings_comparison.txt
================================================================================

Total codepoints: 1114112
Inconsistencies found: 2210

Inconsistencies:

Codepoint | Char    | Elixir Result | JavaScript Result
55405     | invalid | -             | 55405
55406     | invalid | -             | 55406
55407     | invalid | -             | 55407
55408     | invalid | -             | 55408
55409     | invalid | -             | 55409
55410     | invalid | -             | 55410
55411     | invalid | -             | 55411
55412     | invalid | -             | 55412
55413     | invalid | -             | 55413
55414     | invalid | -             | 55414
55415     | invalid | -             | 55415
55416     | invalid | -             | 55416
55417     | invalid | -             | 55417
55418     | invalid | -             | 55418
55419     | invalid | -             | 55419
55420     | invalid | -             | 55420
55421     | invalid | -             | 55421
55422     | invalid | -             | 55422
55423     | invalid | -             | 55423
55424     | invalid | -             | 55424
55425     | invalid | -             | 55425
55426     | invalid | -             | 55426
55427     | invalid | -             | 55427
55428     | invalid | -             | 55428
55429     | invalid | -             | 55429
55430     | invalid | -             | 55430
55431     | invalid | -             | 55431
55432     | invalid | -             | 55432
55433     | invalid | -             | 55433
55434     | invalid | -             | 55434
55435     | invalid | -             | 55435
55436     | invalid | -             | 55436
55437     | invalid | -             | 55437
55438     | invalid | -             | 55438
55439     | invalid | -             | 55439
55440     | invalid | -             | 55440
55441     | invalid | -             | 55441
55442     | invalid | -             | 55442
55443     | invalid | -             | 55443
55444     | invalid | -             | 55444
55445     | invalid | -             | 55445
55446     | invalid | -             | 55446
55447     | invalid | -             | 55447
55448     | invalid | -             | 55448
55449     | invalid | -             | 55449
55450     | invalid | -             | 55450
55451     | invalid | -             | 55451
55452     | invalid | -             | 55452
55453     | invalid | -             | 55453
55454     | invalid | -             | 55454
55455     | invalid | -             | 55455
55456     | invalid | -             | 55456
55457     | invalid | -             | 55457
55458     | invalid | -             | 55458
55459     | invalid | -             | 55459
55460     | invalid | -             | 55460
55461     | invalid | -             | 55461
55462     | invalid | -             | 55462
55463     | invalid | -             | 55463
55464     | invalid | -             | 55464
55465     | invalid | -             | 55465
55466     | invalid | -             | 55466
55467     | invalid | -             | 55467
55468     | invalid | -             | 55468
55469     | invalid | -             | 55469
55470     | invalid | -             | 55470
55471     | invalid | -             | 55471
55472     | invalid | -             | 55472
55473     | invalid | -             | 55473
55474     | invalid | -             | 55474
55475     | invalid | -             | 55475
55476     | invalid | -             | 55476
55477     | invalid | -             | 55477
55478     | invalid | -             | 55478
55479     | invalid | -             | 55479
55480     | invalid | -             | 55480
55481     | invalid | -             | 55481
55482     | invalid | -             | 55482
55483     | invalid | -             | 55483
55484     | invalid | -             | 55484
55485     | invalid | -             | 55485
55486     | invalid | -             | 55486
55487     | invalid | -             | 55487
55488     | invalid | -             | 55488
55489     | invalid | -             | 55489
55490     | invalid | -             | 55490
55491     | invalid | -             | 55491
55492     | invalid | -             | 55492
55493     | invalid | -             | 55493
55494     | invalid | -             | 55494
55495     | invalid | -             | 55495
55496     | invalid | -             | 55496
55497     | invalid | -             | 55497
55498     | invalid | -             | 55498
55499     | invalid | -             | 55499
55500     | invalid | -             | 55500
55501     | invalid | -             | 55501
55502     | invalid | -             | 55502
55503     | invalid | -             | 55503
55504     | invalid | -             | 55504
55505     | invalid | -             | 55505
55506     | invalid | -             | 55506
55507     | invalid | -             | 55507
55508     | invalid | -             | 55508
55509     | invalid | -             | 55509
55510     | invalid | -             | 55510
55511     | invalid | -             | 55511
55512     | invalid | -             | 55512
55513     | invalid | -             | 55513
55514     | invalid | -             | 55514
55515     | invalid | -             | 55515
55516     | invalid | -             | 55516
55517     | invalid | -             | 55517
55518     | invalid | -             | 55518
55519     | invalid | -             | 55519
55520     | invalid | -             | 55520
55521     | invalid | -             | 55521
55522     | invalid | -             | 55522
55523     | invalid | -             | 55523
55524     | invalid | -             | 55524
55525     | invalid | -             | 55525
55526     | invalid | -             | 55526
55527     | invalid | -             | 55527
55528     | invalid | -             | 55528
55529     | invalid | -             | 55529
55530     | invalid | -             | 55530
55531     | invalid | -             | 55531
55532     | invalid | -             | 55532
55533     | invalid | -             | 55533
55534     | invalid | -             | 55534
